year,data,median,LB,UB
1,1133,1133,1133,1133
2,928,917.264396649056,775.98084568576,1058.79347692181
3,688,718.332889908827,597.958549245021,837.573122410624
4,547,547.622033763651,432.132292994016,669.041543080767
5,461,412.698201175067,295.170672084735,528.189653651355
6,320,308.337027180827,192.139199710704,425.018002378943
7,267,232.521066187202,112.341531869798,351.916890493339
8,166,176.011292511284,63.4976737344242,297.182048151923
9,105,136.891692198068,19.3776151411263,255.155256046866
10,32,106.022069095551,-0,242.45212018326
11,13,82.7352795401585,-0,284.817946868331
12,26,65.6211346360203,-0,532.031376075353
13,66,51.3721918894013,-0,1429.88298947999
14,119,42.3509002560055,-0,4435.90532171282
15,215,35.5583934432091,-0,14072.7108659754
16,416,28.6156456533353,-0,43272.4679951907
17,805,26.4589065563425,-0,115082.917427273
18,1513,23.970957731633,-0,358340.942816477
19,1999,21.2735844848578,-0,825696.082288355
20,2482,18.5178077391567,-0,1687572.13904964
21,3053,17.4749774640075,-0,3360056.91264917
22,3052,18.6131636050115,-0,6540617.8097065
23,2873,16.9263912360779,-0,12432581.6300978
24,2429,17.27152077284,-0,23107077.7528173
25,2105,17.2331655675793,-0,42064295.9370507
26,1704,15.9870329907255,-0,75036404.8856753
27,1466,14.9237714240186,-0,131264790.904271
28,1133,15.7042292500061,-0,225009040.169736
29,928,16.6003018760901,-0,136610672.452026
30,688,15.2761691404799,-0,227032803.392076
31,547,16.2810180894586,-0,115820644.387373
32,461,14.6735737107354,-0,21933854.1623669
33,320,15.4017817519699,-0,1535328.68211872
34,267,15.6543508175875,-0,1908127.07651325
35,166,14.184719410932,-0,2149919.14926473
36,105,13.010229704894,-0,648482.581440989
37,32,14.9783652074858,-0,1080425.21850835
38,10,15.5926510335451,-0,580839.998385074
39,10,13.9995261940422,-0,9737.84036515536
40,10,12.092961167473,-0,10547.4292914693
