year,month,day,data,median,LB,UB
2020,2,27,1,1,1,1
2020,2,28,0,3.9671552685358,-0,537.917994436438
2020,2,29,1,6.68148151363055,-0,542.900511963132
2020,3,1,0,-1.30061340886895,-0,552.955541750655
2020,3,2,5,12.202244842377,-0,547.327953349137
2020,3,3,1,1.5812747040267,-0,547.043334112577
2020,3,4,4,8.33181511106816,-0,533.77790304569
2020,3,5,1,7.16159168321481,-0,545.544256064036
2020,3,6,2,12.9284536801426,-0,552.398686993735
2020,3,7,3,12.2198535309456,-0,560.663759236821
2020,3,8,4,33.5095315794552,-0,545.392334967401
2020,3,9,2,22.7764266060195,-0,546.146391429527
2020,3,10,5,32.81649567034,-0,576.131375837155
2020,3,11,5,44.0587685026106,-0,576.984489670302
2020,3,12,11,63.4419342432792,-0,608.789054681299
2020,3,13,7,71.9874230791278,-0,612.428129556139
2020,3,14,9,91.7926544539046,-0,625.604560639392
2020,3,15,11,106.335425265185,-0,650.889760250294
2020,3,16,25,136.83459350696,-0,658.425594119531
2020,3,17,36,153.863702705462,-0,696.801404660913
2020,3,18,65,192.503891624046,-0,717.080672734825
2020,3,19,75,223.67640758624,-0,749.175005920908
2020,3,20,105,260.692525371094,-0,797.982278003345
2020,3,21,104,303.220810476512,-0,848.690920263904
2020,3,22,121,354.113328393653,-0,882.560508476663
2020,3,23,187,397.806258107236,-0,948.846106342985
2020,3,24,243,454.076267701106,-0,991.705477392821
2020,3,25,333,523.722077982899,-0,1065.49166989881
2020,3,26,417,605.098264333804,59.3335518427946,1159.78534458253
2020,3,27,522,666.895727595988,142.994887698085,1224.10518984549
2020,3,28,713,759.245055214158,214.043351806151,1290.69656560848
2020,3,29,555,848.589878598651,284.960389131706,1367.94147879295
2020,3,30,707,936.380229630836,385.874750785181,1480.87233186596
2020,3,31,1079,1030.907524148,483.005839518358,1579.75871057383
2020,4,1,1252,1134.33343771442,603.643910821992,1677.25917567233
2020,4,2,1531,1247.72563643409,695.539213118569,1792.14026535993
2020,4,3,1420,1343.56875642144,797.336206952247,1897.73398108963
2020,4,4,1603,1465.76750752543,910.182518104163,2022.87843304974
2020,4,5,1616,1574.89751688278,1027.11133858125,2114.22431187885
2020,4,6,1742,1679.71110657209,1124.15333925516,2236.75454863205
2020,4,7,2576,1781.47975221481,1255.21508750796,2330.9960616326
2020,4,8,2150,1872.72494424821,1342.01356394407,2422.67864511681
2020,4,9,2214,1975.54079466527,1421.27819823374,2520.99966365867
2020,4,10,2187,2080.05024397493,1543.36165158461,2611.69941672083
2020,4,11,2136,2150.59440483828,1601.40120254301,2697.19170368215
2020,4,12,1889,2222.76933549528,1677.87693364315,2762.08521387677
2020,4,13,1985,2278.5350213772,1734.88830797874,2829.82245891685
2020,4,14,2473,2323.57741949134,1777.20730189212,2868.95604742845
2020,4,15,2598,2347.36255116642,1814.83390530833,2904.6887130042
2020,4,16,2183,2378.84047053177,1839.7788943549,2926.1735965399
2020,4,17,2095,2383.58667969112,1828.14058961554,2939.99167760649
2020,4,18,1946,2381.80219363462,1839.2992786002,2914.39141155545
2020,4,19,1980,2361.45546676923,1820.9990968155,2896.80329019371
2020,4,20,2245,2323.17471021633,1764.67800471516,2855.55232648031
2020,4,21,2482,2275.66639365679,1719.66445546422,2817.65993876392
2020,4,22,2467,2226.9189772762,1678.82316235002,2764.76305247749
2020,4,23,2414,2159.91346668517,1607.34315874226,2709.78477407486
2020,4,24,2169,2090.03615094906,1539.02555405006,2655.76483636787
2020,4,25,1734,2016.43339302825,1449.12476397702,2591.27244365795
2020,4,26,1406,1939.0626808058,1384.62740228423,2531.42198301036
2020,4,27,1480,1861.20432779348,1296.58083857435,2483.51134380429
2020,4,28,2244,1847.37209403303,1258.7770944632,2495.39546836646
2020,4,29,2392,2018.67256436341,1445.33209624162,2591.39218551729
