year,data,median,LB,UB
1,1133,1133,1133,1133
2,928,860.276432044068,742.54401978155,974.04636157365
3,688,747.032039935907,648.287672809793,847.921510289513
4,547,592.109464933363,494.398717463714,689.499475890429
5,461,440.41074841013,345.807811009873,532.148518207364
6,320,315.092596558836,222.123869817915,408.886634410119
7,267,217.817170770897,127.105639839203,312.183462388202
8,166,150.164361460555,59.79033770953,242.054950613726
9,105,100.981943479725,12.3432469505341,190.975088884036
10,32,70.4967897807038,-0,160.281975778812
11,13,46.4343633070673,-0,136.711770975399
12,26,32.0135276889718,-0,119.668371492995
13,66,21.5092338238005,-0,107.379398814323
14,119,14.196198545015,-0,100.976152596737
15,215,10.0166396005138,-0,96.6773299414985
16,416,6.35998107037825,-0,92.3148376761759
17,805,5.37684757350793,-0,88.0107944449701
18,1513,2.89407956077296,-0,86.9100595047554
19,1999,0.970143908296628,-0,87.4320530381281
20,2482,1.3902619636147,-0,86.2906293746142
21,3053,0.0737536227690838,-0,86.2588494576833
22,3052,0.0307544450499801,-0,86.6221735686408
23,2873,0.534098088718694,-0,85.170966113044
24,2429,0.862609447679449,-0,85.0222056470007
25,2105,-0.595529542972861,-0,83.3182083719011
26,1704,-0.166256727112272,-0,86.7992176439275
27,1466,-1.75995169348047,-0,84.088062069675
28,1133,-1.20334373225792,-0,85.4026827259873
29,928,1.46266229283699,-0,86.906584539798
30,688,-0.306580583387899,-0,85.2201409434747
31,547,0.179157108890771,-0,86.4217144243787
32,461,-0.286213933205224,-0,87.8946474563411
33,320,-0.995668778040003,-0,82.7335808244377
34,267,0.141668039122709,-0,84.813032735018
35,166,0.532552643770428,-0,83.8818827062638
36,105,-0.311780297315501,-0,85.5733854955484
37,32,0.00749787688123553,-0,85.7604417170895
38,10,-0.567844541043608,-0,84.4959763324046
39,10,-0.636390919910313,-0,82.0440859717387
40,10,1.0984771499054,-0,88.0765112685609
