time,Rt median,Rt 95%CI LB,Rt 95% CI UB
0.01,18066.3556488787,18038.6674487127,18092.8480709045
1.01,10.335567116154,9.54717036650565,11.0274055077475
2.01,3.15211401586758,2.94898582399824,3.35142482093788
3.01,1.58363800440379,1.44409777504863,1.72306172258774
4.01,0.976828413924352,0.862968868983433,1.07239337932496
5.01,0.683275195460123,0.576920147369143,0.763832482730617
6.01,0.512950211329932,0.417258813698545,0.60057126754494
7.01,0.408816308522075,0.319593746266004,0.514128848742914
8.01,0.344907213435835,0.253519794739025,0.477129243926589
9.01,0.299099844802396,0.206515942783495,0.512356859580525
10.01,0.266357814546596,0.168699618145003,0.627742822827983
11.01,0.240153163085829,0.143512263268232,0.924010770074322
12.01,0.224553504083552,0.122793195887564,1.31470265540022
13.01,0.211711274579106,0.10533472620926,1.72040695628389
14.01,0.206837183551094,0.0942508537054182,1.98025020616979
15.01,0.205396646717444,0.0790772173498964,2.12422408033341
16.01,0.212820722571369,0.0681667056878014,2.18766230699935
17.01,0.217510365792843,0.0569052278359644,2.19626368310446
18.01,0.234459640486644,0.060557280041677,2.17848647631574
19.01,0.267603859263693,0.048820902166961,2.3679789827925
20.01,0.294220616309036,0.0413457716738662,2.32071683624489
21.01,0.334252081049843,0.0427866092842175,2.27064823342408
22.01,0.382043820477395,0.0425251983415548,2.22081462085638
23.01,0.434846896188607,0.0409291187184452,2.17244009312303
24.01,0.492315649085958,0.0468239374660537,2.12703851996682
25.01,0.559875558327005,0.0181403435331271,2.135350345276
26.01,0.625644099347533,-0.00503492090602746,2.19957917926297
27.01,0.699054234143857,-0.0446573536072218,2.23730019403092
28.01,0.751697026339365,-0.15694790005486,2.25840055258607
29.01,0.80775861896907,-0.210529006595415,2.26610918810956
30.01,0.855169690718972,-0.347720678514396,2.2711741256642
31.01,0.898243291146258,-0.601714213869879,2.68742712818949
32.01,0.925883256463339,-1.06942741015651,3.22922484011288
33.01,0.948653081140949,-1.07105332479923,3.23003447032096
34.01,0.96815509491598,-1.6524485935296,3.20958777835033
35.01,0.982052510497292,-3.07540480325055,3.87847083538223
36.01,0.989413044788376,-4.51933832959162,4.57642554354712
37.01,0.994252870284864,-3.97833813475406,4.44724677330215
38.01,0.996722336054666,-2.26466007022884,3.67732892912986
