i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,275.700772262015,113370.261291606,90,176.957327550374
2,307.803123346651,126163.983007804,90,185.158430481082
3,343.140293111563,162856.437706727,80,215.499437775666
4,282.295752844489,103843.641763306,93.3333333333333,167.944878235648
