i_th-ranked model,MAE,MSE,Coverage 95%PI,WIS
1,307.803123346651,126163.983007804,93.3333333333333,179.969542064795
2,341.290006337775,161010.804452991,80,212.806194697757
3,283.780479449948,105108.51632089,93.3333333333333,171.831267660946
4,323.148748295967,141644.082417948,83.3333333333333,197.592120285709
