time,Rt median,Rt 95%CI LB,Rt 95% CI UB
0.01,18078.9697327184,18059.440489332,18130.7406821032
1.01,10.8535518856043,10.3041292456006,12.1928182802782
2.01,5.99785912178069,5.73906238696257,6.61370648261481
3.01,4.69136475757989,4.52761780347942,5.08036724176145
4.01,4.06336634908203,3.94877259700123,4.33125487974174
5.01,3.67665928787908,3.59164972612495,3.86570019822345
6.01,3.39882135883828,3.33630720741468,3.52901416672826
7.01,3.18213615906808,3.13421138388637,3.26948128061868
8.01,3.00465329016786,2.9694860202537,3.05300091065828
9.01,2.85466976865767,2.8245625257644,2.88786776412992
10.01,2.72528863003374,2.69752990770587,2.7511434366608
11.01,2.61209734768254,2.58226345681821,2.63532303641968
12.01,2.51207948859612,2.48087879714495,2.53281983503391
13.01,2.42282984932155,2.38830326753998,2.44433495362456
14.01,2.34276545944819,2.30456388423618,2.36398230027895
15.01,2.27039598328338,2.22825104751542,2.29469550598112
16.01,2.20469267735305,2.15903951814688,2.22849806437132
17.01,2.14473906626585,2.09604651217611,2.17001925278561
18.01,2.08970442625807,2.03840714698724,2.11568976298734
19.01,2.03900394395954,1.98616063324722,2.06555162443959
20.01,1.99163678320781,1.93794388809548,2.01893502277048
21.01,1.94715171058255,1.89272838353124,1.97539651054803
22.01,1.9055963930894,1.85041362429242,1.93451206394568
23.01,1.86668516558823,1.81171916848025,1.89615797546896
24.01,1.8299720622244,1.77343645649282,1.85979979524195
25.01,1.79503911692017,1.73833569945118,1.82488465271968
26.01,1.7594338847102,1.70537860135924,1.7894848904163
27.01,1.72418166759185,1.67170459923749,1.75534863918591
28.01,1.69323713243913,1.64009749748275,1.72405789017756
29.01,1.66442283375267,1.6095582717624,1.69454806191875
30.01,1.63716453094449,1.57857884491543,1.66431578794261
31.01,1.60126378543185,1.54922354701177,1.62953037921858
32.01,1.57172675467122,1.5210208084272,1.6012709461784
33.01,1.54566203800708,1.49225031565182,1.57517118391691
34.01,1.5214838579931,1.46372823743537,1.55060853120057
35.01,1.49348491769572,1.43465519377542,1.51251415091862
36.01,1.46442030583923,1.40615421268164,1.48460540231567
37.01,1.43717721387694,1.37821267740919,1.45997312408242
38.01,1.41103600885331,1.35096078140789,1.43596885003267
39.01,1.38335987128896,1.32391659271669,1.40435459514633
40.01,1.35381542519267,1.29964683333784,1.37497746859938
41.01,1.32416477890352,1.27428810323991,1.3477939840503
42.01,1.2982199135792,1.24824570457285,1.3223992142601
43.01,1.27008629600783,1.22205098163553,1.2912482278087
44.01,1.24214046064286,1.19710244213395,1.26641578547184
45.01,1.2144064387563,1.17262186272217,1.23790418693456
46.01,1.18686454328461,1.14686535006761,1.21164312364369
47.01,1.15940383655534,1.12308774973136,1.18358096847329
48.01,1.13161497599296,1.09501275932306,1.15524056314537
49.01,1.10343451879141,1.07298963309139,1.13197565878553
50.01,1.07839527210216,1.04960552544334,1.10373414135292
51.01,1.05230066578319,1.02114236191289,1.07956248890515
52.01,1.02529745463997,0.996375714981511,1.05913228517231
53.01,1.00027125979409,0.974670087327179,1.03447287546025
54.01,0.979444224781818,0.950932155086259,1.08132587256199
55.01,0.956782775323792,0.931780532864761,1.10586026638532
56.01,0.934195627434568,0.912751385506261,1.08684582996324
57.01,0.917630095623408,0.890779563539646,1.07204028156997
58.01,0.900123754011704,0.869327006948265,1.03671175375257
59.01,0.879064383456902,0.846104107527988,1.03384325531742
60.01,0.8584063002891,0.839943711334713,1.05101115484718
61.01,0.872364304542231,0.833310691002412,1.0515216151115
62.01,0.993224740046277,0.858549601634443,1.10186264098915
63.01,1.01741797042541,0.872128630923543,1.08470437368451
64.01,0.991647915771079,0.866215231177842,1.04939550098567
65.01,0.962083320979237,0.851229158535863,1.01121305665004
66.01,0.932459674443244,0.837747682390066,0.98243726630591
67.01,0.906232299731582,0.826494499673193,0.952516842808595
68.01,0.884458073293809,0.816832731880223,0.933821901303473
69.01,0.866815637008255,0.807954273844267,0.91756772476394
70.01,0.852856851474131,0.802025993520717,0.906803343690542
