time,Rt median,Rt 95%CI LB,Rt 95% CI UB
0.01,18051.0292482606,18028.2591240428,18070.0613729944
1.01,9.91677563982644,9.24972918502607,10.4477968177775
2.01,3.30671788102273,3.15725478820289,3.42967802587015
3.01,1.6989639752844,1.59369037572582,1.81906901303563
4.01,1.03430233804569,0.945124711559056,1.12425673680605
5.01,0.686504793276745,0.607560396953329,0.768076625412949
6.01,0.484434708019903,0.416936155373834,0.560186418730918
7.01,0.35867149012039,0.294536179634033,0.433253870283972
8.01,0.274957049419142,0.214457071488363,0.345388580832842
9.01,0.220412089412294,0.164713070530742,0.289511203877604
10.01,0.182199271090406,0.127357975540605,0.251437460199566
11.01,0.153286621670177,0.10363654494363,0.218793350904895
12.01,0.129543529624736,0.0863870828415221,0.19224166327233
13.01,0.108730645920376,0.0694181482909682,0.175720825113451
14.01,0.092719325692071,0.0548809932400026,0.156766465873295
15.01,0.0790671636472255,0.0394001296347962,0.144612492266315
16.01,0.0649274956491403,0.0274014912716024,0.131581149055924
17.01,0.0572771361321821,0.00448819462387004,0.123752753977899
18.01,0.0582365740363855,-0.0163750662005117,0.118390023423921
19.01,0.0629094593946145,-0.0474767029850191,0.120812001230761
20.01,0.0658587901937078,-0.0557695199236805,0.123890463646274
21.01,0.071235359323675,-0.0290478618379622,0.146033972108706
22.01,0.0671790217857685,-0.0319463045909785,0.177527969130603
23.01,0.0528127419548561,-0.0530820264065518,0.207848754803561
24.01,0.0469290731410604,-0.0851988963056472,0.234888943076495
25.01,0.0360132169091646,-0.137433435797762,0.325163256810151
26.01,0.0173315319730148,-0.211816997420201,0.362363111707244
27.01,-0.0044267777124719,-0.29624425943318,0.446321250921614
28.01,-0.0196781274006892,-0.397487075279509,0.507495877834972
29.01,-0.0117423270453779,-0.62404633654013,0.621870100959426
30.01,-0.0461514699391183,-0.992377510560205,0.64956442748688
31.01,-0.0774106982342308,-1.41024944723651,0.928601050438653
32.01,-0.0779436207666332,-3.17008985479223,1.51434659998928
33.01,-0.0846610380120282,-24.597127822323,2.080361909611
34.01,-0.0934630554499961,-7.34466287349878,5.71989070288194
35.01,-0.0911635308897152,-3.78208885677798,3.27804396897467
36.01,-0.138512725812648,-3.24684370083023,14.7378437115078
37.01,-0.131535695432298,-4.32680929792412,3.48861276471695
38.01,-0.0608851174851501,-3.71154438795769,3.1704428234596
