year,data,median,LB,UB
1,1133,1133,1133,1133
2,928,914.623079105884,769.68957793284,1053.04449225476
3,688,728.681201781329,608.741240227258,852.592625312089
4,547,555.810383582756,432.777638011507,677.216071049576
5,461,417.094218819623,299.867551307466,533.402068289872
6,320,309.246085699517,187.209301583262,426.063719375266
7,267,231.201035823503,116.715606274899,348.850121174981
8,166,172.227302980478,56.4194417457407,288.647198242643
9,105,131.382817918138,16.2748352208512,249.044375525971
10,32,103.178699526013,-0,228.933564282394
11,10,84.7599592421197,-0,228.633069479116
12,10,67.5058964545692,-0,242.279793983393
13,10,57.5409278275536,-0,271.706072733653
14,10,48.8487146006296,-0,290.606688470204
15,10,42.4202369286648,-0,342.402395966041
16,10,36.918132202945,-0,383.10860180241
17,10,34.8602266514608,-0,457.281790393281
18,10,35.4501856842933,-0,557.646375703803
19,10,29.8603446356416,-0,628.364690513874
20,10,30.3127669384084,-0,755.458004913799
21,10,29.7012897567856,-0,908.13557613037
22,10,29.5379558908952,-0,1079.28849919784
23,10,30.4607740993073,-0,1256.49118513861
24,10,29.7449226781736,-0,1460.10510169196
25,10,28.5344717747468,-0,1700.48091278618
26,10,29.4829456017336,-0,1918.65760755248
27,10,29.3427217065035,-0,2212.20100923139
28,10,27.2243813188131,-0,2535.26077665277
29,10,28.8175594942937,-0,2885.51923418411
30,10,28.4230726531715,-0,3278.56701304041
31,10,28.0064865504162,-0,3709.64522670181
32,10,29.4978394588721,-0,4169.02276949228
33,10,29.5872824518525,-0,4684.61436059129
34,10,29.2810805006436,-0,5213.70616593756
35,10,30.0153162234522,-0,5827.75937037626
36,10,29.2825256803113,-0,6470.2903240497
37,10,30.0230221440176,-0,7174.47761391867
38,10,31.2051497162123,-0,7915.17407975385
39,10,31.1927950279603,-0,8782.22548597782
40,10,27.7203701418938,-0,9636.14353575962
