year,data,median,LB,UB
1,1133,1133,1133,1133
2,928,860.068653449451,742.013823425683,972.722273277155
3,688,744.026232138643,643.456302599493,847.613445158827
4,547,589.833907163261,491.460312175718,685.556239267964
5,461,440.081439060997,346.222980090395,536.150780792388
6,320,312.827072285589,221.07206439515,409.749012264809
7,267,218.732646390494,126.120886353565,312.653456783708
8,166,151.55275437691,60.5922916681567,243.220244554125
9,105,102.696416517285,15.3399291441266,192.899139379203
10,32,69.2426475817729,-0,158.933864225117
11,10,48.4553346450969,-0,135.338389441813
12,10,32.2485584215966,-0,117.536247472689
13,10,21.7521402027788,-0,109.36717837174
14,10,14.589633195393,-0,99.1571591256532
15,10,9.61997106118364,-0,92.8998436533888
16,10,6.04454836763731,-0,91.0693872902713
17,10,3.56902412364864,-0,88.3330392483257
18,10,3.84835656676825,-0,89.1436689412727
19,10,1.74225174085162,-0,87.0838509378672
20,10,0.436426869685168,-0,88.9209128006129
21,10,1.15812747090831,-0,86.3578440177053
22,10,1.51508717301315,-0,87.0319344293952
23,10,0.268982630816857,-0,84.7235770966807
24,10,1.27253544985523,-0,85.4905296484384
25,10,0.277841250815338,-0,84.8687588975137
26,10,0.666530650330601,-0,87.6652392653378
27,10,1.51811137585324,-0,85.7058339678846
28,10,0.637814324420061,-0,83.4707313284134
29,10,-0.133189603985732,-0,82.7472819902506
30,10,-0.855133627276693,-0,84.9212480125536
31,10,0.56717863478007,-0,84.3098538989899
32,10,-0.451052941817617,-0,86.158749222288
33,10,0.402666228266122,-0,85.9473457826506
34,10,-0.27428428582126,-0,83.836310089798
35,10,1.15335589661354,-0,84.1518832670655
36,10,0.43707954974088,-0,86.1530286624746
37,10,0.30190416974165,-0,84.7728604996543
38,10,-0.603178102600933,-0,84.2699072046446
39,10,1.30851190487185,-0,87.0234070374556
40,10,-0.46669613095168,-0,85.4494960812078
